название,цена,адрес,площадь,комнаты,этаж,тип_дома,район,источник
"3-комнатная квартира, 33 м², Западный район",5 337 938 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 13",33 м²,3,2/17,сталинка,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 109 м², Центральный район",14 146 611 ₽,"г. Краснодар, ул. Восточно-Кругликовская, д. 12",109 м²,1,8/14,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 70 м², Карасунский район",5 953 871 ₽,"г. Краснодар, ул. Рашпилевская, д. 92",70 м²,2,17/12,современный,Карасунский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 112 м², Прикубанский район",9 831 479 ₽,"г. Краснодар, ул. Московская, д. 84",112 м²,3,15/7,сталинка,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 49 м², Карасунский район",6 574 015 ₽,"г. Краснодар, ул. Зиповская, д. 110",49 м²,4,16/6,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 110 м², Карасунский район",12 354 477 ₽,"г. Краснодар, ул. Тургенева, д. 73",110 м²,3,7/17,новостройка,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 34 м², Прикубанский район",4 495 148 ₽,"г. Краснодар, ул. Восточно-Кругликовская, д. 146",34 м²,2,4/23,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 116 м², Западный район",13 354 964 ₽,"г. Краснодар, ул. 40-летия Победы, д. 30",116 м²,3,17/8,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 70 м², Западный район",6 351 002 ₽,"г. Краснодар, ул. Красноармейская, д. 16",70 м²,4,1/18,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 53 м², Прикубанский район",6 059 481 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 146",53 м²,1,6/10,брежневка,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 69 м², Карасунский район",9 675 035 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 15",69 м²,3,6/25,хрущевка,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 31 м², Западный район",5 186 487 ₽,"г. Краснодар, ул. Рашпилевская, д. 114",31 м²,2,3/22,сталинка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 79 м², Центральный район",12 032 623 ₽,"г. Краснодар, ул. Северная, д. 145",79 м²,4,12/17,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 60 м², Центральный район",8 858 764 ₽,"г. Краснодар, ул. Красная, д. 60",60 м²,2,9/15,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 71 м², Центральный район",11 647 337 ₽,"г. Краснодар, ул. Красная, д. 49",71 м²,3,8/11,современный,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 92 м², Центральный район",11 712 265 ₽,"г. Краснодар, ул. Красноармейская, д. 20",92 м²,3,13/9,хрущевка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 83 м², Прикубанский район",9 358 317 ₽,"г. Краснодар, ул. Тургенева, д. 88",83 м²,4,5/5,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 83 м², Карасунский район",9 887 014 ₽,"г. Краснодар, ул. Селезнева, д. 44",83 м²,3,21/14,брежневка,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 87 м², Центральный район",11 232 443 ₽,"г. Краснодар, ул. Московская, д. 40",87 м²,1,21/24,хрущевка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 64 м², Прикубанский район",8 127 876 ₽,"г. Краснодар, ул. Октябрьская, д. 33",64 м²,4,24/19,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 96 м², Прикубанский район",13 922 915 ₽,"г. Краснодар, ул. Селезнева, д. 32",96 м²,3,10/12,новостройка,Прикубанский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 74 м², Карасунский район",8 301 864 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 7",74 м²,2,4/11,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 55 м², Западный район",5 391 044 ₽,"г. Краснодар, ул. Тургенева, д. 37",55 м²,3,17/22,сталинка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 54 м², Прикубанский район",8 016 405 ₽,"г. Краснодар, ул. Героев-Разведчиков, д. 50",54 м²,4,15/15,хрущевка,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 29 м², Центральный район",5 275 627 ₽,"г. Краснодар, ул. Зиповская, д. 28",29 м²,4,5/8,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 45 м², Прикубанский район",6 527 213 ₽,"г. Краснодар, ул. Зиповская, д. 21",45 м²,3,10/5,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 96 м², Карасунский район",11 409 342 ₽,"г. Краснодар, ул. Героев-Разведчиков, д. 26",96 м²,4,16/10,брежневка,Карасунский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 58 м², Центральный район",9 751 508 ₽,"г. Краснодар, ул. Московская, д. 31",58 м²,4,18/6,сталинка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 71 м², Центральный район",10 660 467 ₽,"г. Краснодар, ул. Красная, д. 42",71 м²,4,12/11,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 107 м², Карасунский район",13 426 370 ₽,"г. Краснодар, ул. Коммунаров, д. 64",107 м²,2,2/25,хрущевка,Карасунский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 46 м², Центральный район",4 511 601 ₽,"г. Краснодар, ул. Красная, д. 102",46 м²,4,4/18,современный,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 38 м², Центральный район",6 215 675 ₽,"г. Краснодар, ул. Октябрьская, д. 47",38 м²,2,13/11,сталинка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 97 м², Западный район",12 672 282 ₽,"г. Краснодар, ул. Октябрьская, д. 39",97 м²,3,16/17,брежневка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 39 м², Прикубанский район",3 329 529 ₽,"г. Краснодар, ул. Московская, д. 47",39 м²,4,13/11,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 51 м², Западный район",5 667 864 ₽,"г. Краснодар, ул. Красноармейская, д. 81",51 м²,3,18/20,брежневка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 64 м², Западный район",6 590 714 ₽,"г. Краснодар, ул. Тургенева, д. 135",64 м²,4,15/6,сталинка,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 34 м², Центральный район",5 351 242 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 148",34 м²,1,24/15,сталинка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 94 м², Прикубанский район",8 337 960 ₽,"г. Краснодар, ул. Героев-Разведчиков, д. 110",94 м²,3,17/19,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 32 м², Западный район",5 240 045 ₽,"г. Краснодар, ул. Селезнева, д. 117",32 м²,1,24/16,брежневка,Западный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 86 м², Центральный район",13 994 855 ₽,"г. Краснодар, ул. Дзержинского, д. 60",86 м²,2,13/23,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 89 м², Центральный район",9 572 187 ₽,"г. Краснодар, ул. Гоголя, д. 76",89 м²,1,21/5,сталинка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 89 м², Центральный район",10 785 374 ₽,"г. Краснодар, ул. Дзержинского, д. 122",89 м²,4,14/22,современный,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 97 м², Центральный район",13 872 974 ₽,"г. Краснодар, ул. 40-летия Победы, д. 62",97 м²,2,8/6,хрущевка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 78 м², Западный район",10 427 429 ₽,"г. Краснодар, ул. Селезнева, д. 57",78 м²,4,16/25,брежневка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 63 м², Карасунский район",8 398 060 ₽,"г. Краснодар, ул. Октябрьская, д. 7",63 м²,4,19/19,брежневка,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 68 м², Западный район",9 053 216 ₽,"г. Краснодар, ул. Гоголя, д. 41",68 м²,2,2/20,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 95 м², Центральный район",14 824 916 ₽,"г. Краснодар, ул. Уральская, д. 141",95 м²,4,19/16,современный,Центральный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 100 м², Западный район",11 306 112 ₽,"г. Краснодар, ул. Ставропольская, д. 49",100 м²,1,4/22,современный,Западный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 28 м², Прикубанский район",4 017 425 ₽,"г. Краснодар, ул. Ставропольская, д. 3",28 м²,2,11/15,брежневка,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 82 м², Западный район",12 459 661 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 78",82 м²,4,19/24,новостройка,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 48 м², Западный район",5 776 967 ₽,"г. Краснодар, ул. Героев-Разведчиков, д. 7",48 м²,1,6/8,современный,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 58 м², Прикубанский район",6 954 446 ₽,"г. Краснодар, ул. Зиповская, д. 20",58 м²,1,18/11,брежневка,Прикубанский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 32 м², Западный район",4 627 671 ₽,"г. Краснодар, ул. Зиповская, д. 108",32 м²,1,10/18,брежневка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 96 м², Карасунский район",10 297 486 ₽,"г. Краснодар, ул. Рашпилевская, д. 93",96 м²,4,7/10,современный,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 120 м², Центральный район",12 675 522 ₽,"г. Краснодар, ул. Героев-Разведчиков, д. 140",120 м²,2,21/8,хрущевка,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 59 м², Прикубанский район",6 054 656 ₽,"г. Краснодар, ул. Дзержинского, д. 40",59 м²,2,15/20,хрущевка,Прикубанский,Сгенерировано на основе данных Краснодара
